director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Barry Sonnenfeld,Zooey Deschanel,Janeane Garofalo,Omar Epps,Comedy Crime Thriller,big trouble,Zooey Deschanel Janeane Garofalo Omar Epps Barry Sonnenfeld Comedy Crime Thriller
Mike Newell,Marcela Mar,Giovanna Mezzogiorno,Unax Ugalde,Drama Romance,love in the time of cholera,Marcela Mar Giovanna Mezzogiorno Unax Ugalde Mike Newell Drama Romance
unknown,Pierre Perrier,Clotilde Hesme,Céline Sallette,Drama Fantasy Horror Mystery,the returned            ,Pierre Perrier Clotilde Hesme Céline Sallette unknown Drama Fantasy Horror Mystery
George P. Cosmatos,Sam Waterston,Ben Gazzara,Nicholas Turturro,Action Thriller,shadow conspiracy,Sam Waterston Ben Gazzara Nicholas Turturro George P. Cosmatos Action Thriller
Oliver Parker,Daniel Kaluuya,Tim McInnerny,Togo Igawa,Action Adventure Comedy Crime,johnny english reborn,Daniel Kaluuya Tim McInnerny Togo Igawa Oliver Parker Action Adventure Comedy Crime
Lawrence Kasanoff,Jerry Stiller,Larry Miller,Harvey Fierstein,Action Animation Comedy Family Fantasy,foodfight!,Jerry Stiller Larry Miller Harvey Fierstein Lawrence Kasanoff Action Animation Comedy Family Fantasy
Ben Affleck,Clea DuVall,Scoot McNairy,Tate Donovan,Biography Drama History Thriller,argo,Clea DuVall Scoot McNairy Tate Donovan Ben Affleck Biography Drama History Thriller
Andrew Davis,Harrison Ford,Daniel Roebuck,Sela Ward,Action Adventure Crime Drama Mystery Thriller,the fugitive,Harrison Ford Daniel Roebuck Sela Ward Andrew Davis Action Adventure Crime Drama Mystery Thriller
Andy Tennant,Gerard Butler,Dorian Missick,Peter Greene,Action Comedy Romance,the bounty hunter,Gerard Butler Dorian Missick Peter Greene Andy Tennant Action Comedy Romance
Barry Levinson,Robert De Niro,Brad Pitt,Minnie Driver,Crime Drama Thriller,sleepers,Robert De Niro Brad Pitt Minnie Driver Barry Levinson Crime Drama Thriller
George P. Cosmatos,Sylvester Stallone,Julia Nickson,Martin Kove,Action Adventure Thriller War,rambo: first blood part ii,Sylvester Stallone Julia Nickson Martin Kove George P. Cosmatos Action Adventure Thriller War
Brian Gibson,Joseph Gordon-Levitt,Demi Moore,Anne Heche,Drama Thriller,the juror,Joseph Gordon-Levitt Demi Moore Anne Heche Brian Gibson Drama Thriller
Norman Ferguson,Mel Blanc,Dickie Jones,Cliff Edwards,Animation Family Fantasy Musical,pinocchio,Mel Blanc Dickie Jones Cliff Edwards Norman Ferguson Animation Family Fantasy Musical
Michael Cimino,Jeff Bridges,Sam Waterston,Isabelle Huppert,Adventure Drama Western,heaven's gate,Jeff Bridges Sam Waterston Isabelle Huppert Michael Cimino Adventure Drama Western
Len Wiseman,Sophia Myles,Tony Curran,Derek Jacobi,Action Adventure Fantasy Sci-Fi Thriller,underworld: evolution,Sophia Myles Tony Curran Derek Jacobi Len Wiseman Action Adventure Fantasy Sci-Fi Thriller
Gus Van Sant,F. Murray Abraham,Rob Brown,Michael Nouri,Drama,finding forrester,F. Murray Abraham Rob Brown Michael Nouri Gus Van Sant Drama
Betty Thomas,Steve Buscemi,Viggo Mortensen,Elizabeth Perkins,Comedy Drama,28 days,Steve Buscemi Viggo Mortensen Elizabeth Perkins Betty Thomas Comedy Drama
Louis Leterrier,Morgan Freeman,Jet Li,Bob Hoskins,Action Crime Drama Thriller,unleashed,Morgan Freeman Jet Li Bob Hoskins Louis Leterrier Action Crime Drama Thriller
Roger Kumble,Judith Chapman,Lillian Adams,Chelsea Bond,Comedy Romance,the sweetest thing,Judith Chapman Lillian Adams Chelsea Bond Roger Kumble Comedy Romance
Sydney Pollack,Tom Cruise,Holly Hunter,Wilford Brimley,Drama Mystery Thriller,the firm,Tom Cruise Holly Hunter Wilford Brimley Sydney Pollack Drama Mystery Thriller
Burr Steers,Augustus Prew,Charlie Tahan,Valerie Tian,Drama Fantasy Romance,charlie st. cloud,Augustus Prew Charlie Tahan Valerie Tian Burr Steers Drama Fantasy Romance
Simon West,Jason Statham,Tony Goldwyn,Mini Anden,Action Crime Thriller,the mechanic,Jason Statham Tony Goldwyn Mini Anden Simon West Action Crime Thriller
Phil Lord,Channing Tatum,Dax Flame,Rob Riggle,Action Comedy Crime,21 jump street,Channing Tatum Dax Flame Rob Riggle Phil Lord Action Comedy Crime
Roger Michell,Julia Roberts,Clarke Peters,Dylan Moran,Comedy Drama Romance,notting hill,Julia Roberts Clarke Peters Dylan Moran Roger Michell Comedy Drama Romance
Peter Lord,Imelda Staunton,Miranda Richardson,Julia Sawalha,Adventure Animation Comedy Drama Family,chicken run,Imelda Staunton Miranda Richardson Julia Sawalha Peter Lord Adventure Animation Comedy Drama Family
John Hamburg,Philip Seymour Hoffman,Masi Oka,Debra Messing,Comedy Romance,along came polly,Philip Seymour Hoffman Masi Oka Debra Messing John Hamburg Comedy Romance
Reginald Hudlin,John Witherspoon,Eartha Kitt,Geoffrey Holder,Comedy Drama Romance,boomerang,John Witherspoon Eartha Kitt Geoffrey Holder Reginald Hudlin Comedy Drama Romance
Paul Feig,Michael Rapaport,William Xifaras,Demián Bichir,Action Comedy Crime,the heat,Michael Rapaport William Xifaras Demián Bichir Paul Feig Action Comedy Crime
Joseph L. Mankiewicz,Martin Landau,Richard Burton,Roddy McDowall,Biography Drama History Romance,cleopatra,Martin Landau Richard Burton Roddy McDowall Joseph L. Mankiewicz Biography Drama History Romance
Frank Coraci,Salma Hayek,Reggie Lee,Charice,Action Comedy Sport,here comes the boom,Salma Hayek Reggie Lee Charice Frank Coraci Action Comedy Sport
Carl Franklin,Morgan Freeman,Adam Scott,Bruce Davison,Crime Drama Mystery Thriller,high crimes,Morgan Freeman Adam Scott Bruce Davison Carl Franklin Crime Drama Mystery Thriller
Barbra Streisand,Jeff Bridges,Austin Pendleton,Mimi Rogers,Comedy Drama Romance,the mirror has two faces,Jeff Bridges Austin Pendleton Mimi Rogers Barbra Streisand Comedy Drama Romance
Mark Pellington,Debra Messing,Will Patton,David Eigenberg,Drama Horror Mystery Thriller,the mothman prophecies,Debra Messing Will Patton David Eigenberg Mark Pellington Drama Horror Mystery Thriller
Larry Charles,Bono,Elton John,Slash,Comedy,brüno,Bono Elton John Slash Larry Charles Comedy
John Glen,Robert Davi,Talisa Soto,Anthony Zerbe,Action Adventure Thriller,licence to kill,Robert Davi Talisa Soto Anthony Zerbe John Glen Action Adventure Thriller
Catherine Hardwicke,Gary Oldman,Billy Burke,Virginia Madsen,Fantasy Horror Mystery Thriller,red riding hood,Gary Oldman Billy Burke Virginia Madsen Catherine Hardwicke Fantasy Horror Mystery Thriller
John Herzfeld,Robert De Niro,Charlize Theron,Kelsey Grammer,Action Crime Drama Thriller,15 minutes,Robert De Niro Charlize Theron Kelsey Grammer John Herzfeld Action Crime Drama Thriller
Annabel Jankel,Bob Hoskins,Fisher Stevens,Fiona Shaw,Adventure Comedy Family Fantasy Sci-Fi,super mario bros.,Bob Hoskins Fisher Stevens Fiona Shaw Annabel Jankel Adventure Comedy Family Fantasy Sci-Fi
Andrew Niccol,Nicolas Cage,Jeremy Crutchley,Jared Burke,Crime Drama Thriller,lord of war,Nicolas Cage Jeremy Crutchley Jared Burke Andrew Niccol Crime Drama Thriller
Julie Anne Robinson,Fisher Stevens,Debbie Reynolds,Patrick Fischler,Action Comedy Crime Romance Thriller,one for the money,Fisher Stevens Debbie Reynolds Patrick Fischler Julie Anne Robinson Action Comedy Crime Romance Thriller
Evan Goldberg,James Franco,Randall Park,Anders Holm,Comedy,the interview,James Franco Randall Park Anders Holm Evan Goldberg Comedy
Sngmoo Lee,Tony Cox,Dong-gun Jang,Jed Brophy,Action Fantasy Western,the warrior's way,Tony Cox Dong-gun Jang Jed Brophy Sngmoo Lee Action Fantasy Western
unknown,Tim Conway,Gavin MacLeod,Bob Hastings,Comedy War,mchale's navy            ,Tim Conway Gavin MacLeod Bob Hastings unknown Comedy War
Jean-Pierre Jeunet,Omar Sy,Dany Boon,André Dussollier,Action Comedy Crime,micmacs,Omar Sy Dany Boon André Dussollier Jean-Pierre Jeunet Action Comedy Crime
Curtis Hanson,Mekhi Phifer,Omar Benson Miller,Evan Jones,Drama Music,8 mile,Mekhi Phifer Omar Benson Miller Evan Jones Curtis Hanson Drama Music
Jamel Debbouze,Jamel Debbouze,Youssef Hajdi,Mélissa Theuriau,Adventure Animation Comedy Family,animal kingdom: let's go ape,Jamel Debbouze Youssef Hajdi Mélissa Theuriau Jamel Debbouze Adventure Animation Comedy Family
Brian Helgeland,Heath Ledger,Rufus Sewell,Bérénice Bejo,Action Adventure Romance,a knight's tale,Heath Ledger Rufus Sewell Bérénice Bejo Brian Helgeland Action Adventure Romance
Gordon Chan,Julian Sands,Lee Evans,Anthony Chau-Sang Wong,Action Comedy Fantasy,the medallion,Julian Sands Lee Evans Anthony Chau-Sang Wong Gordon Chan Action Comedy Fantasy
M. Night Shyamalan,Bruce Willis,Haley Joel Osment,Olivia Williams,Drama Mystery Thriller,the sixth sense,Bruce Willis Haley Joel Osment Olivia Williams M. Night Shyamalan Drama Mystery Thriller
Asger Leth,Robert Clohessy,Mandy Gonzalez,J. Smith-Cameron,Action Crime Thriller,man on a ledge,Robert Clohessy Mandy Gonzalez J. Smith-Cameron Asger Leth Action Crime Thriller
David Frankel,Joel McHale,Kevin Pollak,JoBeth Williams,Comedy,the big year,Joel McHale Kevin Pollak JoBeth Williams David Frankel Comedy
David O. Russell,Jennifer Lawrence,Christian Bale,Bradley Cooper,Crime Drama,american hustle,Jennifer Lawrence Christian Bale Bradley Cooper David O. Russell Crime Drama
Anne Fletcher,Ryan Reynolds,Denis O'Hare,Craig T. Nelson,Comedy Drama Romance,the proposal,Ryan Reynolds Denis O'Hare Craig T. Nelson Anne Fletcher Comedy Drama Romance
Bruce Beresford,Bruce Greenwood,Annabeth Gish,Bruce Campbell,Crime Mystery Thriller,double jeopardy,Bruce Greenwood Annabeth Gish Bruce Campbell Bruce Beresford Crime Mystery Thriller
Robert Zemeckis,Lea Thompson,Jeffrey Weissman,Thomas F. Wilson,Adventure Comedy Sci-Fi,back to the future part ii,Lea Thompson Jeffrey Weissman Thomas F. Wilson Robert Zemeckis Adventure Comedy Sci-Fi
Luc Besson,Scarlett Johansson,Morgan Freeman,Amr Waked,Action Sci-Fi Thriller,lucy,Scarlett Johansson Morgan Freeman Amr Waked Luc Besson Action Sci-Fi Thriller
Sam Taylor-Johnson,Jennifer Ehle,Luke Grimes,Callum Rennie,Drama Romance,fifty shades of grey,Jennifer Ehle Luke Grimes Callum Rennie Sam Taylor-Johnson Drama Romance
Robert Rodriguez,Sylvester Stallone,Salma Hayek,Alexa PenaVega,Action Adventure Comedy Family Sci-Fi,spy kids 3-d: game over,Sylvester Stallone Salma Hayek Alexa PenaVega Robert Rodriguez Action Adventure Comedy Family Sci-Fi
Joel Schumacher,Kevin Spacey,Matthew McConaughey,Oliver Platt,Crime Drama Thriller,a time to kill,Kevin Spacey Matthew McConaughey Oliver Platt Joel Schumacher Crime Drama Thriller
Shawn Levy,Tom Welling,Alyson Stoner,Bonnie Hunt,Comedy Family,cheaper by the dozen,Tom Welling Alyson Stoner Bonnie Hunt Shawn Levy Comedy Family
Peter Berg,Jerry Ferrara,Scott Elrod,Dan Bilzerian,Action Biography Drama Thriller War,lone survivor,Jerry Ferrara Scott Elrod Dan Bilzerian Peter Berg Action Biography Drama Thriller War
Penny Marshall,Tom Hanks,Lori Petty,Rosie O'Donnell,Comedy Drama Sport,a league of their own,Tom Hanks Lori Petty Rosie O'Donnell Penny Marshall Comedy Drama Sport
James Wan,Javier Botet,Frances O'Connor,Robin Atkin Downes,Horror Mystery Thriller,the conjuring 2,Javier Botet Frances O'Connor Robin Atkin Downes James Wan Horror Mystery Thriller
David Fincher,Andrew Garfield,Dustin Fitzsimons,Marcella Lentz-Pope,Biography Drama,the social network,Andrew Garfield Dustin Fitzsimons Marcella Lentz-Pope David Fincher Biography Drama
Ken Kwapis,Carmen Perez,Sabrina Revelle,Sachiko Ishida,Comedy Drama Romance,he's just not that into you,Carmen Perez Sabrina Revelle Sachiko Ishida Ken Kwapis Comedy Drama Romance
David Zucker,Beau Mirchoff,Carmen Electra,Regina Hall,Comedy,scary movie 4,Beau Mirchoff Carmen Electra Regina Hall David Zucker Comedy
Wes Craven,Kelly Rutherford,Roger Jackson,Nancy O'Dell,Horror Mystery,scream 3,Kelly Rutherford Roger Jackson Nancy O'Dell Wes Craven Horror Mystery
Robert Zemeckis,Lea Thompson,Jeffrey Weissman,Thomas F. Wilson,Adventure Comedy Sci-Fi Western,back to the future part iii,Lea Thompson Jeffrey Weissman Thomas F. Wilson Robert Zemeckis Adventure Comedy Sci-Fi Western
Etan Cohen,Will Ferrell,Alison Brie,Craig T. Nelson,Comedy Crime,get hard,Will Ferrell Alison Brie Craig T. Nelson Etan Cohen Comedy Crime
Francis Ford Coppola,Keanu Reeves,Anthony Hopkins,Gary Oldman,Fantasy Horror Romance,bram stoker's dracula,Keanu Reeves Anthony Hopkins Gary Oldman Francis Ford Coppola Fantasy Horror Romance
Nora Ephron,Meryl Streep,Mary Lynn Rajskub,Vanessa Ferlito,Biography Drama Romance,julie & julia,Meryl Streep Mary Lynn Rajskub Vanessa Ferlito Nora Ephron Biography Drama Romance
Brian Helgeland,Harrison Ford,Christopher Meloni,Nicole Beharie,Biography Drama Sport,42,Harrison Ford Christopher Meloni Nicole Beharie Brian Helgeland Biography Drama Sport
Anthony Minghella,Philip Seymour Hoffman,Matt Damon,Jack Davenport,Crime Drama Thriller,the talented mr. ripley,Philip Seymour Hoffman Matt Damon Jack Davenport Anthony Minghella Crime Drama Thriller
Bobby Farrelly,Bill Murray,Kathleen Turner,Rob Riggle,Comedy,dumb and dumber to,Bill Murray Kathleen Turner Rob Riggle Bobby Farrelly Comedy
Frank Marshall,Paul Walker,Bruce Greenwood,Wendy Crewson,Adventure Drama Family,eight below,Paul Walker Bruce Greenwood Wendy Crewson Frank Marshall Adventure Drama Family
Nancy Meyers,Robert De Niro,Anne Hathaway,Rene Russo,Comedy Drama,the intern,Robert De Niro Anne Hathaway Rene Russo Nancy Meyers Comedy Drama
Tim Story,Olivia Munn,Nadine Velazquez,Bruce McGill,Action Comedy,ride along 2,Olivia Munn Nadine Velazquez Bruce McGill Tim Story Action Comedy
Michael Mann,Wes Studi,Terry Kinney,Eric Schweig,Action Adventure Drama Romance War,the last of the mohicans,Wes Studi Terry Kinney Eric Schweig Michael Mann Action Adventure Drama Romance War
Taylor Hackford,Bokeem Woodbine,Curtis Armstrong,Harry Lennix,Biography Drama Music,ray,Bokeem Woodbine Curtis Armstrong Harry Lennix Taylor Hackford Biography Drama Music
Frank Miller,Rosario Dawson,Powers Boothe,Jason Douglas,Crime Thriller,sin city,Rosario Dawson Powers Boothe Jason Douglas Frank Miller Crime Thriller
Pete Travis,Dennis Quaid,Edgar Ramírez,William Hurt,Crime Drama Mystery Thriller,vantage point,Dennis Quaid Edgar Ramírez William Hurt Pete Travis Crime Drama Mystery Thriller
John Hamburg,J.K. Simmons,Jon Favreau,Jane Curtin,Comedy Romance,"i love you, man",J.K. Simmons Jon Favreau Jane Curtin John Hamburg Comedy Romance
Bobby Farrelly,Jason Alexander,Bruce McGill,Susan Ward,Comedy Drama Fantasy Romance,shallow hal,Jason Alexander Bruce McGill Susan Ward Bobby Farrelly Comedy Drama Fantasy Romance
Oliver Stone,Sally Kirkland,Jay O. Sanders,Cheryl Penland,Drama History Thriller,jfk,Sally Kirkland Jay O. Sanders Cheryl Penland Oliver Stone Drama History Thriller
John Whitesell,Chloë Grace Moretz,Nia Long,Marisol Nichols,Comedy Crime,big momma's house 2,Chloë Grace Moretz Nia Long Marisol Nichols John Whitesell Comedy Crime
Gore Verbinski,J.K. Simmons,Brad Pitt,Julia Roberts,Adventure Comedy Crime Romance,the mexican,J.K. Simmons Brad Pitt Julia Roberts Gore Verbinski Adventure Comedy Crime Romance
Angelina Jolie Pitt,Finn Wittrock,Jack O'Connell,Alex Russell,Biography Drama Sport War,unbroken,Finn Wittrock Jack O'Connell Alex Russell Angelina Jolie Pitt Biography Drama Sport War
Burr Steers,Matthew Perry,Hunter Parrish,Thomas Lennon,Comedy Drama Family Fantasy Romance,17 again,Matthew Perry Hunter Parrish Thomas Lennon Burr Steers Comedy Drama Family Fantasy Romance
Nick Cassavetes,Don Johnson,Kate Upton,David Thornton,Comedy Romance,the other woman,Don Johnson Kate Upton David Thornton Nick Cassavetes Comedy Romance
David R. Ellis,Krista Allen,Andrew Fiscella,Shantel VanSanten,Horror,the final destination,Krista Allen Andrew Fiscella Shantel VanSanten David R. Ellis Horror
Steven Spielberg,Tom Hanks,Mark Rylance,Amy Ryan,Drama History Thriller,bridge of spies,Tom Hanks Mark Rylance Amy Ryan Steven Spielberg Drama History Thriller
John Moore,Joaquim de Almeida,David Keith,Sam Jaeger,Action Drama Thriller War,behind enemy lines,Joaquim de Almeida David Keith Sam Jaeger John Moore Action Drama Thriller War
Nicholas Stoller,Pink,Mario Lopez,Lino Facioli,Comedy Music,get him to the greek,Pink Mario Lopez Lino Facioli Nicholas Stoller Comedy Music
Peter Chelsom,Lisa Ann Walter,Nick Cannon,Omar Benson Miller,Comedy Drama Romance,shall we dance,Lisa Ann Walter Nick Cannon Omar Benson Miller Peter Chelsom Comedy Drama Romance
Joe Dante,Kirsten Dunst,Denis Leary,Robert Picardo,Action Adventure Comedy Family Sci-Fi,small soldiers,Kirsten Dunst Denis Leary Robert Picardo Joe Dante Action Adventure Comedy Family Sci-Fi
Mark A.Z. Dippé,Michael Jai White,Frank Welker,Miko Hughes,Action Horror,spawn,Michael Jai White Frank Welker Miko Hughes Mark A.Z. Dippé Action Horror
Kevin Reynolds,Henry Cavill,James Frain,Michael Wincott,Action Adventure Drama Romance Thriller,the count of monte cristo,Henry Cavill James Frain Michael Wincott Kevin Reynolds Action Adventure Drama Romance Thriller
Brad Furman,Matthew McConaughey,Margarita Levieva,Frances Fisher,Crime Drama Thriller,the lincoln lawyer,Matthew McConaughey Margarita Levieva Frances Fisher Brad Furman Crime Drama Thriller
Christopher Nolan,Christian Bale,Hugh Jackman,Scarlett Johansson,Drama Mystery Sci-Fi Thriller,the prestige,Christian Bale Hugh Jackman Scarlett Johansson Christopher Nolan Drama Mystery Sci-Fi Thriller
Sean Anders,Kevin Spacey,Christoph Waltz,Lindsay Sloane,Comedy Crime,horrible bosses 2,Kevin Spacey Christoph Waltz Lindsay Sloane Sean Anders Comedy Crime
Cal Brunker,Brendan Fraser,Paul Scheer,Jonathan Morgan Heit,Adventure Animation Comedy Family Sci-Fi,escape from planet earth,Brendan Fraser Paul Scheer Jonathan Morgan Heit Cal Brunker Adventure Animation Comedy Family Sci-Fi
Mel Gibson,Rudy Youngblood,Dalia Hernández,Jonathan Brewer,Action Adventure Drama Thriller,apocalypto,Rudy Youngblood Dalia Hernández Jonathan Brewer Mel Gibson Action Adventure Drama Thriller
John Glen,Joe Don Baker,Desmond Llewelyn,Art Malik,Action Adventure Thriller,the living daylights,Joe Don Baker Desmond Llewelyn Art Malik John Glen Action Adventure Thriller
Nimród Antal,Topher Grace,Alice Braga,Derek Mears,Action Adventure Sci-Fi Thriller,predators,Topher Grace Alice Braga Derek Mears Nimród Antal Action Adventure Sci-Fi Thriller
Ivan Reitman,Brian Dennehy,Debra Winger,Roscoe Lee Browne,Comedy Crime Romance,legal eagles,Brian Dennehy Debra Winger Roscoe Lee Browne Ivan Reitman Comedy Crime Romance
David Koepp,Johnny Depp,Charles S. Dutton,Timothy Hutton,Mystery Thriller,secret window,Johnny Depp Charles S. Dutton Timothy Hutton David Koepp Mystery Thriller
Alejandro Agresti,Keanu Reeves,Dylan Walsh,Ebon Moss-Bachrach,Drama Fantasy Romance,the lake house,Keanu Reeves Dylan Walsh Ebon Moss-Bachrach Alejandro Agresti Drama Fantasy Romance
Iain Softley,Gena Rowlands,Deneen Tyler,Joy Bryant,Horror Mystery Thriller,the skeleton key,Gena Rowlands Deneen Tyler Joy Bryant Iain Softley Horror Mystery Thriller
Peter Hedges,Jennifer Garner,Odeya Rush,Common,Comedy Drama Family Fantasy,the odd life of timothy green,Jennifer Garner Odeya Rush Common Peter Hedges Comedy Drama Family Fantasy
Paul Weiland,Busy Philipps,Beau Garrett,Kevin Sussman,Comedy Romance,made of honor,Busy Philipps Beau Garrett Kevin Sussman Paul Weiland Comedy Romance
Clint Eastwood,Johnny Cannizzaro,Steve Schirripa,Scott Vance,Biography Drama Music Musical,jersey boys,Johnny Cannizzaro Steve Schirripa Scott Vance Clint Eastwood Biography Drama Music Musical
Francis Ford Coppola,Matt Damon,Dean Stockwell,Virginia Madsen,Crime Drama Thriller,the rainmaker,Matt Damon Dean Stockwell Virginia Madsen Francis Ford Coppola Crime Drama Thriller
Mathieu Kassovitz,Robert Downey Jr.,Charles S. Dutton,Bernard Hill,Horror Mystery Thriller,gothika,Robert Downey Jr. Charles S. Dutton Bernard Hill Mathieu Kassovitz Horror Mystery Thriller
Steven Spielberg,Anthony Hopkins,Morgan Freeman,Matthew McConaughey,Drama History,amistad,Anthony Hopkins Morgan Freeman Matthew McConaughey Steven Spielberg Drama History
John McTiernan,Lorraine Bracco,José Wilker,Sean Connery,Adventure Drama Romance,medicine man,Lorraine Bracco José Wilker Sean Connery John McTiernan Adventure Drama Romance
Colin Strause,Sam Trammell,Johnny Lewis,Ian Whyte,Action Horror Sci-Fi Thriller,aliens vs. predator: requiem,Sam Trammell Johnny Lewis Ian Whyte Colin Strause Action Horror Sci-Fi Thriller
Donald Petrie,Macaulay Culkin,John Larroquette,Jonathan Hyde,Comedy Family,ri¢hie ri¢h,Macaulay Culkin John Larroquette Jonathan Hyde Donald Petrie Comedy Family
Joan Chen,J.K. Simmons,Sam Trammell,Elaine Stritch,Drama Romance,autumn in new york,J.K. Simmons Sam Trammell Elaine Stritch Joan Chen Drama Romance
Marc Lawrence,Brad Garrett,Scott Porter,Haley Bennett,Comedy Music Romance,music and lyrics,Brad Garrett Scott Porter Haley Bennett Marc Lawrence Comedy Music Romance
Greg Mottola,Bobby Lee,Nelson Ascencio,Jeremy Owen,Adventure Comedy Sci-Fi,paul,Bobby Lee Nelson Ascencio Jeremy Owen Greg Mottola Adventure Comedy Sci-Fi
Anne Fletcher,Miriam Margolyes,Tom Virtue,Julene Renee,Comedy Drama,the guilt trip,Miriam Margolyes Tom Virtue Julene Renee Anne Fletcher Comedy Drama
Wes Craven,Alison Brie,Aimee Teegarden,Shenae Grimes-Beech,Horror Mystery,scream 4,Alison Brie Aimee Teegarden Shenae Grimes-Beech Wes Craven Horror Mystery
Joel Schumacher,Nicolas Cage,Chris Bauer,Anthony Heald,Mystery Thriller,8mm,Nicolas Cage Chris Bauer Anthony Heald Joel Schumacher Mystery Thriller
Oliver Stone,Michael Wincott,Kevin Dillon,Kathleen Quinlan,Biography Drama Music Musical,the doors,Michael Wincott Kevin Dillon Kathleen Quinlan Oliver Stone Biography Drama Music Musical
Jake Kasdan,James Wilcox,Randall Park,Nat Faxon,Comedy,sex tape,James Wilcox Randall Park Nat Faxon Jake Kasdan Comedy
Diane Keaton,Adam Arkin,Celia Weston,Jesse James,Comedy Drama,hanging up,Adam Arkin Celia Weston Jesse James Diane Keaton Comedy Drama
Steven Quale,Emma Bell,Jacqueline MacInnes Wood,Courtney B. Vance,Horror,final destination 5,Emma Bell Jacqueline MacInnes Wood Courtney B. Vance Steven Quale Horror
Kelly Makin,Jeanne Tripplehorn,Burt Young,Vincent Pastore,Comedy Crime Romance,mickey blue eyes,Jeanne Tripplehorn Burt Young Vincent Pastore Kelly Makin Comedy Crime Romance
Mimi Leder,Kevin Spacey,Haley Joel Osment,Angie Dickinson,Drama,pay it forward,Kevin Spacey Haley Joel Osment Angie Dickinson Mimi Leder Drama
Bobby Farrelly,Jimmy Fallon,KaDee Strickland,Ione Skye,Comedy Drama Romance Sport,fever pitch,Jimmy Fallon KaDee Strickland Ione Skye Bobby Farrelly Comedy Drama Romance Sport
unknown,Bruce Dinsmore,Melissa Altro,Daniel Brochu,Animation Comedy Family,arthur            ,Bruce Dinsmore Melissa Altro Daniel Brochu unknown Animation Comedy Family
Steven Brill,Lisa Ann Walter,Shaun Weiss,Matt Walsh,Comedy Drama,drillbit taylor,Lisa Ann Walter Shaun Weiss Matt Walsh Steven Brill Comedy Drama
Seth MacFarlane,Liam Neeson,Charlize Theron,Seth MacFarlane,Comedy Western,a million ways to die in the west,Liam Neeson Charlize Theron Seth MacFarlane Seth MacFarlane Comedy Western
Russell Mulcahy,Jonathan Winters,Peter Boyle,John Kapelos,Action Adventure Crime Fantasy Mystery Thriller,the shadow,Jonathan Winters Peter Boyle John Kapelos Russell Mulcahy Action Adventure Crime Fantasy Mystery Thriller
Stephen Daldry,Tom Hanks,Thomas Horn,Stephen Henderson,Adventure Drama Mystery,extremely loud & incredibly close,Tom Hanks Thomas Horn Stephen Henderson Stephen Daldry Adventure Drama Mystery
Roger Michell,Noah Bean,Patti D'Arbanville,Vanessa Aspillaga,Comedy Drama Romance,morning glory,Noah Bean Patti D'Arbanville Vanessa Aspillaga Roger Michell Comedy Drama Romance
Jim Sheridan,50 Cent,Bill Duke,Marc John Jefferies,Biography Crime Drama Music,get rich or die tryin',50 Cent Bill Duke Marc John Jefferies Jim Sheridan Biography Crime Drama Music
Christian Duguay,Michael Biehn,Cary-Hiroyuki Tagawa,Anne Archer,Action Adventure Crime Thriller,the art of war,Michael Biehn Cary-Hiroyuki Tagawa Anne Archer Christian Duguay Action Adventure Crime Thriller
Chris Columbus,Rosario Dawson,David Fine,Jesse L. Martin,Drama Musical Romance,rent,Rosario Dawson David Fine Jesse L. Martin Chris Columbus Drama Musical Romance
Chuck Russell,Rufus Sewell,Jimmy Smits,Angela Bettis,Crime Drama Horror Thriller,bless the child,Rufus Sewell Jimmy Smits Angela Bettis Chuck Russell Crime Drama Horror Thriller
Sam Weisman,Oliver Hudson,Valerie Perri,Carlease Burke,Comedy,the out-of-towners,Oliver Hudson Valerie Perri Carlease Burke Sam Weisman Comedy
John Frankenheimer,Marlon Brando,Temuera Morrison,Marco Hofschneider,Horror Sci-Fi Thriller,the island of dr. moreau,Marlon Brando Temuera Morrison Marco Hofschneider John Frankenheimer Horror Sci-Fi Thriller
Peter Hyams,Catherine Deneuve,Justin Chambers,Stephen Rea,Action Adventure Romance,the musketeer,Catherine Deneuve Justin Chambers Stephen Rea Peter Hyams Action Adventure Romance
Justin Chadwick,Natalie Portman,Scarlett Johansson,Benedict Cumberbatch,Biography Drama History Romance,the other boleyn girl,Natalie Portman Scarlett Johansson Benedict Cumberbatch Justin Chadwick Biography Drama History Romance
Pat O'Connor,Keanu Reeves,Charlize Theron,Frank Langella,Drama Romance,sweet november,Keanu Reeves Charlize Theron Frank Langella Pat O'Connor Drama Romance
Stephen Hopkins,Stephen Rea,Andrea Frankle,William Ragsdale,Horror Thriller,the reaping,Stephen Rea Andrea Frankle William Ragsdale Stephen Hopkins Horror Thriller
Martin Scorsese,Robert De Niro,David Carradine,David Proval,Crime Drama Romance Thriller,mean streets,Robert De Niro David Carradine David Proval Martin Scorsese Crime Drama Romance Thriller
Penny Marshall,Ed Begley Jr.,Cliff Robertson,Lillo Brancato,Comedy Drama,renaissance man,Ed Begley Jr. Cliff Robertson Lillo Brancato Penny Marshall Comedy Drama
Olivier Megaton,Jordi Mollà,Callum Blue,Jesse Borrego,Action Crime Drama Thriller,colombiana,Jordi Mollà Callum Blue Jesse Borrego Olivier Megaton Action Crime Drama Thriller
